description,location,date,bedroom,bathroom,price
?,,?,,,
3 bedroom terraced duplex for sale,"  Airport Road., Lugbe District, Abuja",Added on 08 Jul 2020,3,,"23,100,000"
5 bedroom detached duplex for sale,"  Chevron Alternative, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,5,5,"85,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Toll, Lekki Expressway, Lekki, Lagos",Added on 12 Aug 2020,4,5,"48,000,000"
5 bedroom detached duplex for sale,"  Lekki Expressway, Lekki, Lagos",Added on 14 Aug 2020,5,6,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Ologolo, Lekki, Lagos",Added on 19 Mar 2019,4,5,"45,000,000"
6 bedroom detached duplex for sale,"  Admiralty, Lekki Phase 1, Lekki, Lagos",Added on 19 Jan 2020,6,7,"270,000,000"
4 bedroom detached duplex for sale,"  Royal Garden Estate, Ajiwe, Ajah, Lagos",Added on 01 Aug 2020,4,5,"92,000,000"
4 bedroom semi-detached duplex for sale,"  Bera Estate, Chevron, Lekki Expressway, Lekki, Lagos",Added on 20 Jul 2020,4,5,"57,000,000"
4 bedroom terraced duplex for sale,"  Lafiaji, Lekki, Lagos",Added on 19 Aug 2020,4,4,"42,000,000"
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added on 24 Aug 2020,4,4,"75,000,000"
?,"  Ikate, Lekki, Lagos",?,4,4,"75,000,000"
4 bedroom semi-detached duplex for sale,"  Lafiaji, Lekki, Lagos",Added on 25 Aug 2020,4,4,"55,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 26 Aug 2020,4,5,"35,000,000"
4 bedroom house for sale,"  Katampe Extension, Katampe Extension, Katampe, Abuja",Added on 29 Aug 2020,4,4,"100,000,000"
4 bedroom terraced duplex for sale,"  Oniru Extension, Oniru, Victoria Island (VI), Lagos",Added on 16 Jul 2020,4,4,"150,000,000"
5 bedroom detached duplex for sale,"  Banana Island, Banana Island, Ikoyi, Lagos",Added on 29 Aug 2020,5,5,"600,000,000"
4 bedroom detached duplex for sale,"  GRA, Ogudu, Lagos",Added on 29 Aug 2020,4,4,"65,000,000"
4 bedroom detached duplex for sale,"  Chevron Lekki, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,4,4,"55,000,000"
4 bedroom semi-detached bungalow for sale,"  2nd Toll Gate,lekki, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,4,4,"64,000,000"
4 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 29 Aug 2020,4,4,"64,000,000"
5 bedroom semi-detached duplex for sale,"  Chevron Drive, Lekki, Lagos",Added on 29 Aug 2020,5,5,"75,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",Added on 23 Aug 2020,4,4,"40,000,000"
?,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",?,4,4,"40,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 20 Jul 2020,4,4,"120,000,000"
4 bedroom semi-detached duplex for sale,"  Osapa London, Osapa, Lekki, Lagos",Added on 11 Aug 2020,4,4,"57,000,000"
5 bedroom detached duplex for sale,"  Close To Ogba, Ikeja, Omole Phase 1, Ikeja, Lagos",Added on 29 Aug 2020,5,5,"130,000,000"
4 bedroom detached duplex for sale,"  Diplomatic Zone, Katampe Extension, Katampe, Abuja",Added on 24 Dec 2019,4,5,"150,000,000"
4 bedroom terraced duplex for sale,"  Jahi, Abuja",Added on 29 Aug 2020,4,4,"65,000,000"
4 bedroom semi-detached duplex for sale,"  In A Well Secured And Serene Environment, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,4,4,"140,000,000"
3 bedroom detached bungalow for sale,"  Tinuoye, Ojoo, Ibadan, Oyo",Added on 16 Jul 2020,3,2,"6,500,000"
4 bedroom semi-detached duplex for sale,"  By 2nd Tollgate In Well Securd Estate, Lekki Phase 2, Lekki, Lagos",Added on 29 Aug 2020,4,4,"55,000,000"
5 bedroom detached duplex for sale,"  Sunshine Homes By Peace Court, Off Ring Road 2, Wumba, Abuja",Added on 22 Oct 2019,5,5,"110,000,000"
4 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Aug 2020,4,5,"65,000,000"
?,"  2nd Toll Gate, Lekki, Lagos",?,4,5,"65,000,000"
5 bedroom detached duplex for sale,"  Nicon Town, Lekki, Lagos",Added on 29 Aug 2020,5,5,"400,000,000"
3 bedroom block of flats for sale,"  Command Ipaja, Boys Town, Ipaja, Lagos",Added on 29 Aug 2020,3,3,"22,000,000"
5 bedroom detached duplex for sale,"  Nicon Town, Lekki, Lagos",Added on 29 Aug 2020,5,3,"400,000,000"
5 bedroom detached duplex for sale,"  Karu-jikwoyi Road, Kurudu, Abuja",Added on 29 Aug 2020,5,6,"65,000,000"
4 bedroom terraced duplex for sale,"  Creek Avenue Court Phase 2, Ikota, Lekki, Lagos",Added on 26 Mar 2020,4,6,"37,000,000"
7 bedroom detached duplex for sale,"  Nicon Town, Lekki, Lagos",Added on 29 Aug 2020,7,6,"450,000,000"
5 bedroom semi-detached duplex for sale,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,5,6,"180,000,000"
3 bedroom semi-detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added Today,3,6,"38,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Toll, Ikota, Lekki, Lagos",Added on 29 Mar 2020,4,5,"48,000,000"
4 bedroom semi-detached duplex for sale,"  2nd Tollgate, Ikota, Lekki, Lagos",Added on 30 Mar 2020,4,5,"52,000,000"
4 bedroom semi-detached duplex for sale,"  Idado, Lekki, Lagos",Added on 02 Apr 2020,4,5,"50,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Earl's Court Estate, Lekki Phase 1, Lekki, Lagos",Added on 12 Nov 2019,4,4,"119,000,000"
3 bedroom terraced duplex for sale,"  Open Gates Off Nizamiye Road, Karmo, Abuja",Added on 24 Sep 2018,3,3,"25,000,000"
6 bedroom detached duplex for sale,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 29 Aug 2020,6,6,"249,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Drive, Lekki Phase 2, Lekki, Lagos",Added on 01 Jul 2020,4,4,"55,000,000"
5 bedroom terraced duplex for sale,"  Close To Stellamaris School, Life Camp, Abuja",Added on 20 Jan 2020,5,5,"35,000,000"
7 bedroom detached duplex for sale,"  By Nizamiye (turkish) Hospital, Karmo, Abuja",Added Yesterday,7,7,"60,000,000"
6 bedroom detached duplex for sale,"  By Chida Hotel Junction, Jabi, Abuja",Added Today,6,7,"250,000,000"
6 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 27 Jan 2020,6,7,"270,000,000"
4 bedroom semi-detached duplex for sale,"  Montego Estate, Ikate Elegushi, Lekki, Lagos",Added on 04 Apr 2020,4,5,"70,000,000"
