description,location,date,bedroom,bathroom,price
?,,?,,,
5 bedroom semi-detached duplex for sale,"  Old Ikoyi, Ikoyi, Lagos",Added on 06 Jun 2020,5,5,"250,000,000"
4 bedroom semi-detached duplex for sale,"  Southern View Estate, Chevron, Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"43,000,000"
4 bedroom terraced duplex for sale,"  Off Banana Link Road, Old Ikoyi, Ikoyi, Lagos",Added on 29 Jul 2020,4,4,"155,000,000"
5 bedroom detached duplex for sale,"  By Southern View Estate, Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,5,5,"65,000,000"
5 bedroom detached duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Jul 2020,5,5,"75,000,000"
5 bedroom detached duplex for sale,"  Chevron, Agungi, Lekki, Lagos",Added on 29 Jul 2020,5,5,"80,000,000"
4 bedroom terraced duplex for sale,"  2nd Toll Gate, Lekki, Lagos",Added on 29 Jul 2020,4,5,"42,000,000"
4 bedroom semi-detached duplex for sale,"  Secured And Gated Estate Beside Shoprite, Jakande, Lekki, Lagos",Added on 29 Jul 2020,4,4,"45,000,000"
2 bedroom semi-detached duplex for sale,"  Eleko Beach Road, The Value Eleko, Eleko, Ibeju Lekki, Lagos",Added on 29 Jul 2020,2,4,"17,000,000"
5 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,5,5,"55,000,000"
?,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",?,5,5,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Palm City Front, Ikota, Lekki, Lagos",Added on 29 Jul 2020,4,5,"45,000,000"
4 bedroom terraced duplex for sale,"  Yaba, Lagos",Added on 29 Jul 2020,4,4,"65,000,000"
2 bedroom house for sale,"  Orchid Hotel Road, Second Lekki Tollgate, Chevron, Lekki, Lagos",Added on 29 Jul 2020,2,2,"25,000,000"
3 bedroom terraced duplex for sale,"  Orchid Road, Ado, Ajah, Lagos",Added on 29 Jul 2020,3,2,"42,000,000"
3 bedroom semi-detached duplex for sale,"  Vantage Court 2.0, Shapati, Ibeju Lekki, Lagos",Added on 29 Jul 2020,3,3,"27,000,000"
4 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"45,000,000"
5 bedroom semi-detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",Added on 29 Jul 2020,5,5,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Off Orchid Hotel Road By Second Tollgate, Lafiaji, Lekki, Lagos",Added on 29 Jul 2020,4,4,"58,000,000"
5 bedroom detached duplex for sale,"  Lomalinda Extension, Independence Layout, Enugu, Enugu",Added on 29 Jul 2020,5,7,"50,000,000"
4 bedroom semi-detached bungalow for sale,"  Abraham Adesanya Estate., Ajah, Lagos",Added on 29 Jul 2020,4,4,"35,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Chevron Drive, Lekki, Lagos",Added on 07 Aug 2020,4,6,"55,000,000"
4 bedroom terraced duplex for sale,"  Ikate, Lekki, Lagos",Added on 29 Jul 2020,4,4,"80,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 21 Jul 2020,4,4,"50,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki Phase 1, Lekki, Lagos",Added on 29 Jul 2020,5,4,"80,000,000"
