,types,area,bedroom,bathroom,price
0,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,65000000.0
1,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,75000000.0
2,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,60000000.0
3,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,75000000.0
4,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,67000000.0
5,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,67000000.0
6,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,67000000.0
7,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
8,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,75000000.0
9,detached_duplex,2nd Toll Gate Lekki,4.0,4.0,75000000.0
10,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,68000000.0
11,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
12,detached_duplex,2nd Toll Gate Lekki,4.0,5.0,70000000.0
13,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
14,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,75000000.0
15,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
16,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,75000000.0
17,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,65000000.0
18,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,95000000.0
19,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,78000000.0
20,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,65000000.0
21,detached_duplex,2nd Toll Gate Lekki,5.0,7.0,110000000.0
22,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,65000000.0
23,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,65000000.0
24,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,78000000.0
25,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,75000000.0
26,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,75000000.0
27,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,65000000.0
28,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,65000000.0
29,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,75000000.0
30,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,70000000.0
31,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,67000000.0
32,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,77000000.0
33,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,65000000.0
34,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
35,detached_duplex,2nd Toll Gate Lekki,5.0,4.0,65000000.0
36,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
37,detached_duplex,2nd Toll Gate Lekki,5.0,4.0,75000000.0
38,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
39,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
40,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,70000000.0
41,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
42,detached_duplex,2nd Toll Gate Lekki,5.0,6.0,68000000.0
43,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,115000000.0
44,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,70000000.0
45,detached_duplex,2nd Toll Gate Lekki,5.0,5.0,75000000.0
46,duplex,2nd Toll Gate Lekki,4.0,4.0,48000000.0
47,house,2nd Toll Gate Lekki,4.0,6.0,55000000.0
48,house,2nd Toll Gate Lekki,4.0,4.0,58000000.0
49,semi_detached_duplex,2nd Toll Gate Lekki,3.0,6.0,38000000.0
50,semi_detached_duplex,2nd Toll Gate Lekki,3.0,4.0,38000000.0
51,semi_detached_duplex,2nd Toll Gate Lekki,3.0,4.0,38000000.0
52,semi_detached_duplex,2nd Toll Gate Lekki,3.0,3.0,38000000.0
53,semi_detached_duplex,2nd Toll Gate Lekki,3.0,4.0,38000000.0
54,semi_detached_duplex,2nd Toll Gate Lekki,3.0,4.0,38000000.0
55,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,52000000.0
56,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,54000000.0
57,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,58000000.0
58,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,56000000.0
59,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,57000000.0
60,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,53000000.0
61,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
62,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,52000000.0
63,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,54000000.0
64,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,55000000.0
65,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
66,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,55000000.0
67,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,58000000.0
68,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,52000000.0
69,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,57000000.0
70,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,57000000.0
71,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,57000000.0
72,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,55000000.0
73,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,50000000.0
74,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,55000000.0
75,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,53000000.0
76,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
77,semi_detached_duplex,2nd Toll Gate Lekki,4.0,4.0,50000000.0
78,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
79,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,55000000.0
80,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,50000000.0
81,semi_detached_duplex,2nd Toll Gate Lekki,4.0,5.0,52000000.0
